marca,modelo,numeracao,preco_atacado,preco_varejo,link_imagem1,link_imagem2,min,max
ADIDAS,SAMBA,34-39,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-06-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-06-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,SAMBA,34-39,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-667-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-667-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,SAMBA,34-39,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/IMG_0315-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/IMG_0316-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIDAS XLG,34-39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/Tenis-Atacado-Adidas-XLG-R-900-XLG-684-2-Photoroom-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/Tenis-Atacado-Adidas-XLG-R-900-XLG-684-Photoroom-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIDAS XLG,34-39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/Tenis-Atacado-Adidas-XLG-R-900-XLG-06-2-Photoroom-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/Tenis-Atacado-Adidas-XLG-R-900-XLG-06-Photoroom-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIDAS XLG,34-39,"R$ 85,00","R$ 170,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/Tenis-Atacado-Adidas-XLG-R-900-XLG-90-2-Photoroom-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/Tenis-Atacado-Adidas-XLG-R-900-XLG-90-Photoroom-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIZERO BOSTON,37-43,"R$ 60,00","R$ 132,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-06-2-Photoroom-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-06-Photoroom-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,37,43
ADIDAS,ADIZERO BOSTON,37-43,"R$ 60,00","R$ 132,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-638-2-Photoroom-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-638-Photoroom-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,37,43
ADIDAS,ADIZERO BOSTON,37-43,"R$ 60,00","R$ 132,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-908-2-Photoroom-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-908-Photoroom-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,37,43
ADIDAS,ADIZERO BOSTON,34-39,"R$ 60,00","R$ 132,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-09-2-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-09-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
